YEAR,Row,Ran,LOT No.,TRT,Block,Bines/ plot,SWC on Aug 17th,SWC on July 27th,SWC on Aug 11th,End of Year SWC,T. Harvest Fresh Weight (kg/plot),T. Yield Dry Hops (kg/ha),T. Yield Fresh Hops (kg/ha),% Dry Matter,% Total Oil,% Alpha Acids,% Beta Acids,% CoHumulone,% CoLupulone,% ?-Pinene,% Myrcene,% ?-Pinene,% Limonene,% Linalool,% Geraniol,% Citral,% Ocimene,% Farnesene,% Caryophyllene,% Humulene,% Caryophyllene oxide
2022,6,10,613,T2,6,16,0.397,,,0.263,23.6,1656.14,6483.52,24,1.00,5.55,7.65,28.83,42.88,0.07,45.59,0.7,0.08,0.21,0.07,0.09,0.2,7.21,10,25.96,0.1
2023,10,4,101,T1,1,16,,0.259,0.232,0.248,36.8,2496.37,10109.89,23,0.79,2.78,5.62,31.38,44.51,0.096,48.09,0.838,0.423,0.333,0.145,0.52,0.489,6.314,8.083,19.749,0.524
2023,10,6,201,T1,2,15,,0.252,0.246,0.241,35.6,2602.34,9780.22,24,0.88,3.00,5.45,31.11,43.99,0.09,47.05,0.89,0.49,0.35,0.151,0.55,0.45,6.33,7.55,22.05,0.51
2023,10,10,301,T1,3,16,,0.245,0.255,0.232,35.5,2283.63,9752.75,22,0.82,3.05,5.54,31.337,43.797,0.07,48.187,0.827,0.413,0.33,0.132,0.507,0.503,6.357,8.227,21.82,0.533
2023,11,3,401,T1,4,16,,0.275,0.262,0.251,37.1,2495.03,10192.31,23,0.85,3.48,5.72,31.32,44.23,0.11,53.71,0.94,0.51,0.33,0.12,0.62,0.53,5.29,6.96,19.56,0.46
2023,11,7,501,T1,5,16,,0.236,0.245,0.228,31,1994.15,8516.48,22,0.80,2.98,5.48,31.21,43.8,0.1,48.03,0.85,0.41,0.34,0.15,0.58,0.42,6.24,7.68,22.54,0.47
2023,11,9,601,T1,6,15,,0.274,0.241,0.237,29.5,2070.18,8104.4,24,0.80,2.70,5.42,31.48,43.36,0.1,42.82,0.69,0.32,0.32,0.12,0.52,0.56,7.54,10.04,23.36,0.67
2023,10,3,102,T2,1,14,,0.261,0.252,0.151,31.3,1921.93,8598.9,21,0.79,3.44,5.85,30.91,42.95,0.085,43.1,0.794,0.384,0.293,0.104,0.479,0.399,6.88,9.712,23.268,0.433
2023,10,5,202,T2,2,16,,0.249,0.241,0.163,32.8,2138.71,9010.99,22,0.81,3.02,5.65,30.78,43.5,0.07,40.9,0.71,0.45,0.29,0.13,0.505,0.41,7.05,10.44,22.99,0.43
2023,10,8,302,T2,3,16,,0.271,0.235,0.198,32.6,2001.75,8956.04,21,0.80,3.12,5.637,30.653,43.463,0.077,43.463,0.8,0.387,0.307,0.097,0.463,0.393,6.91,9.81,23.34,0.437
2023,11,2,402,T2,4,16,,0.266,0.241,0.185,29.8,2004.09,8186.81,23,0.85,3.39,5.23,30.68,44.55,0.09,44.29,0.84,0.49,0.41,0.12,0.51,0.37,6.18,8.12,22.94,0.41
2023,11,5,502,T2,5,16,,0.251,0.252,0.177,31.7,2224.56,8708.79,24,0.80,3.07,5.63,30.94,43.69,0.09,46.56,0.89,0.42,0.36,0.11,0.54,0.42,6.43,7.95,23.24,0.41
2023,11,10,602,T2,6,16,,0.242,0.246,0.195,28.4,1860.12,7802.2,22,0.75,2.90,6.05,30.34,42.15,0.05,39.54,0.67,0.45,0.35,0.11,0.44,0.39,8.12,11.36,23.84,0.49
2023,10,2,103,T3,1,16,,0.259,0.173,0.223,20.1,1292.98,5521.98,22,0.73,3.08,5.272,30.343,43.745,0.067,35.167,0.637,0.425,0.31,0.175,0.582,0.35,6.877,9.92,24.839,0.353
2023,10,7,203,T3,2,15,,0.212,0.162,0.192,23.7,1455.26,6510.99,21,0.69,2.55,5.55,30.22,43.55,0.091,31.055,0.505,0.29,0.29,0.16,0.69,0.31,7.52,11.111,27.22,0.305
2023,10,9,303,T3,3,16,,0.255,0.213,0.229,32.2,2071.35,8846.15,22,0.72,3.10,5.213,30.307,43.64,0.06,33.35,0.617,0.35,0.273,0.203,0.58,0.36,6.953,10.16,25.527,0.33
2023,11,4,403,T3,4,16,,0.255,0.193,0.235,22.5,1710.53,6181.32,25,0.75,3.37,5.31,30.56,44.26,0.08,44.57,0.8,0.47,0.36,0.13,0.52,0.34,6.18,8.26,23.81,0.47
2023,11,6,503,T3,5,15,,0.243,0.181,0.218,31.8,1952.63,8736.26,21,0.70,3.44,6.04,30.52,43.54,0.1,45.09,0.8,0.41,0.27,0.16,0.6,0.37,6.2,8.59,25.18,0.36
2023,11,8,603,T3,6,16,,0.244,0.172,0.188,19,1444.44,5219.78,24,0.70,2.48,5.29,29.84,43.12,0.09,40.39,0.75,0.37,0.29,0.18,0.62,0.37,8.48,9.63,24.59,0.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
